name,popularity,phonetic,gender,meaning,root
آب حیات, ,,female,آب (فارسی) + حیات(عربی) در افسانه ها آب زندگانی که عمر جاویدان می دهد,فارسی-عربی
آب ناهید, ,,female,نام زنی در منظومه ویس و رامین,فارسی
آباد, ,ebād,male,تندرست و مرفه ، آراسته,فارسی
آبان,101,ābān,male,نام ماه هشتم از سال شمسی، نام فرشته نگهبان آب، نام روز دهم از هر ماه شمسی در ایران قدیم,فارسی
آبان آسا, ,,female,مانند آبان‎ - آبان ماه تغییر آب و هوا است و آبان آسا کنایه از کسی است که خلق و خوی متغیر دارد,فارسی
آبان داد, ,,female,داده آبان‎ - کسی که در ماه آبان متولد شده است,فارسی
آبان دخت,101,ābān doxt,female,دختری که در آبان به دنیا آمده، دختر آبان، نام همسر داریوش سوم پادشاه هخامنشی,فارسی
آبان دیس, ,,female,مانند آبان,فارسی
آبان زاد, ,,male,زاده آبان کسی که در آبان متولد شده است,فارسی
آبان سا, ,,female,مانند آبان,فارسی
آبان سار, ,,both,مانند آبان,فارسی
آبان فام, ,,female,به رنگ آبان کسی که رنگ چهره اش زرد است,فارسی
آبان مهر, ,,female,آن که محبت او چون فرشته آبان است,فارسی
آبان یاد, ,,male,به یاد آبان یا کسی که یادآور ماه آبان است,فارسی
آباندخت,101,ābān doxt,female,دختر آبان ، دختر متولد شده در ماه آبان، همسر دارا پادشاه پیشدادی,فارسی
آبتاب, ,ābtāb,female,دختری با چهره زیبا و درخشان، تابان,فارسی
آبتین,7005,ābtin,male,روح کامل-انسان نیکو کار - از شخصیتهای شاهنامه، نام پدر فریدون پادشاه پیشدادی,اوستایی-پهلوی
آبد, ,,male,همیشگی ، دائمی ، جاودانه,عربی
آبرو, ,,male,حیثیت ، شرف ، قدر,فارسی
آبگین,101,ābgin,both,شیشه، آینه,فارسی
آبگینه,101,ābgine,female,شیشه، آینه، ظرف شیشه ای یا بلورین به ویژه جام شراب,فارسی
آبنوس,297,ābnus,female,درختی که چوب آن سیاه رنگ است و میوه ای بسیار شیرین و به شکل انگور دارد,فارسی
آبو, ,,male,آبی ، نیلوفرآبی ، دایی,فارسی
آپام,101,āpām,female,نام همسر داریوش اول پادشاه هخامنشی,فارسی
آپامه,172,āpāme,female,نام دختر سپیتامن یکی از سرداران ایرانی و همسر سلوکوس,فارسی
آتا,312,ātā,male,پدربزرگ,ترکی
آتاش, ,,male,آداش، همنام,ترکی
آتاناز,665,ātā nāz,female,دختر نازنین بابا ،,ترکی-فارسی
آتبین,428,ātbin,male,آبتین ،روح کامل و نیکو کار - ‌ از شخصیتهای شاهنامه، نام پدر فریدون پادشاه پیشدادی,فارسی
آتر, ,,female,آذر - اخگر- آتش,فارسی
آترا,260,ātrā,female,آذر- آتش - نام یکی از ماههای پاییز,فارسی
آتریسا,4076,ātrisā,female,آذرگون مانند آتش - دختری با چهره ای زیبا و برافروخته مرکب از آتری(تغییر یافته آذر-آتر-آتری) + پسوند مشابهت,فارسی
آترین,2707,ātarin,female,آذرین مانند آتش - زیبا و پر انرژی,فارسی
آتش,101,ātaš,both,آنچه از سوختن مواد به وجود می آید و با گرما، شعله، و نور همراه است، سرخی و برافروختگی,فارسی
آتشه,101,ātaše,female,برق ، آذرخش,فارسی
آتشی, ,,female,نام نوعی گل ، همچنین نورانی، فروزان، گیرا، مؤثر، به رنگ آتش، سرخ,فارسی
آتشین, ,,female,نورانی، فروزان، گیرا، مؤثر، به رنگ آتش، سرخ,فارسی
آتنا,79194,ātenā,female,در اساطیر یونان، خدای اندیشه، هنر، دانش، و صنعت,فرانسه
آتور,192,ātur,female,آذر،آتش,اوستایی-پهلوی
آتیلا,5340,ātilā,male,نام پادشاه قبیله هون که امپراطوری روم شرقی را شکست داد٠,فارسی
آتین,204,ātin,male,در زبان زند و پازند جدید ، نو ، بوجود آمده,اوستایی-پهلوی
آتیه,3997,ātiye,female,آینده,عربی
آدا, ,,female,پاداش مینوی، فرشته توانگری,فارسی
آداش, ,,male,آتاش ، همنام ، هم اسم,ترکی
آدرینا,10598,ādarinā,female,آتشین ، سرخ رو ، دختر زیبا رو ، بانوی آتشین,فارسی
آدم, ,,male,نخستین بشری که خدا آفرید- مودب باتربیت - انسان گندم گون - آهوی سفیدی که روی پوستش خطهای خاکی رنگ دارد,عبری
آدنا, ,adnā,female,نام روستایی در نزدیکی چالوس,فارسی
آدی, ,oday,male,امین تر ، امانت دار تر,عربی
آدیش,101,ādiš,male,آتش ، اخگر ، شراره آتش,فارسی
آدینه,1297,ādine,both,روز جمعه، به صورت پسوند همراه با بعضی نامها می آید و نام جدید می سازد مانند آدینه محمد,فارسی
آذر,76923,āzar,female,نام ماه نهم از سال شمسی، نام فرشته نگهبان آتش، نام روز نهم از هر ماه شمسی در ایران قدیم,اوستایی-پهلوی
آذران,101,āzarān,male,آتش ها,فارسی
آذرباد,101,āzar bād,male,آذرپناه یا کسی که آتش نگهدار اوست، نام موبدی که بانی آذربایجان بوده است، نام یکی از شخصیتهای منظومه ویس و رامین,فارسی
آذربو, ,āzar bu,female,بته ای با گلهای تکی زرد رنگ که در نواحی کویری و کناره های آبهای شور می روید,فارسی
آذربویه, ,,female,بوته ای از تیره اسفناج با گلهای تکی زرد رنگ که در نواحی کویری و کناره های آبهای شور می روید,فارسی
آذرچهر,101,āzar čehr,both,دارای چهره ای چون آتش، نام پدر آذرداد از خاندان کیانیان,فارسی
آذرخش,160,āzaraxš,male,صاعقه - نام نهمین روز از ماه آذر,فارسی
آذردخت,3333,āzar doxt,female,دختر آتش,فارسی
آذرشب,101,āzar šab,male,فرشته نگهبان آتش که همواره در آتش است - نام آتشکده ای که گشتاسب در بلخ بنا نهاد و گنجهای خویش را در آن پنهان نمود,فارسی
آذرشست, ,,both,(به ضم شین) پاک منزه شده در آتش ،پنبه کوهی,فارسی
آذرگشسب, ,,male,مخفف آذرگشنسب - یکی از سه آتش مقدس محافظ جهان - نام فرشته موکل آتش,فارسی
آذرگل,101,āzar gol,female,گلی سرخ رنگ شبیه شقایق,فارسی
آذرگون,101,āzar gun,female,گلی است از دسته شقایق ها که رنگش زرد است و میانش مشکی است - به رنگ آتش,فارسی
آذرماه, ,āzar māh,female,دختری که مانند ماه زیباست و مانند آتش درخشنده,فارسی
آذرمه,101,āzar mah,female,رئیس و بزرگ آتشها( آتشکده ها),فارسی
آذرمهر, ,,both,مرکب از آذر+ مهر،محبت خورشید،مهربانی خورشید، نام یکی از موبدان ساسانی و همچنین یکی از هفت آتشکده بزرگ ایرانیان,فارسی
آذرمینا,101,āzar minā,female,لعلگون، سرخ رنگ,فارسی
آذرنگ,101,āzarang,male,روشن و نورانی ، آتش,فارسی
آذرنوش,414,āzar nuš,male,نوش آذر- آتش جاویدوان،گرمای همیشگی - نام دومین آتشکده از هفت آتشکده بزرگ ایرانیان,فارسی
آذرک,101,āzarak,female,شراره آتش، اخگر، نام دختر یزگرد سوم پادشاه ساسانی,فارسی
آذرکیوان, ,,male,نام موبدی زرتشتی، مؤسس آیین خاصی به همین نام,فارسی
آذریاس,101,āzar yās,female,صمغ سداب کوهی,فارسی
آذرین,101,āzarin,both,آتشین، گرم و سوزان,فارسی
آذین,9725,āzin,both,زینت، زیور، نام یکی از فرماندهان سپاه بابک خرم دین، نام پهلوانی در ویس و رامین,فارسی
آذین دخت,113,āzin doxt,female,دختری که وجودش موجب آرایش و ارج بستگانش است.,فارسی
آذین فر, ,,male,پسر باشکوه و آراسته,فارسی
آذین گل, ,,female,زینت گل، زیورگل - کنایه از زیبایی بسیار زیاد,فارسی
آرا,904,ārā,female,مخفف آراینده آرایشگر-زیور زینت,فارسی
آراد,36039,ārād,male,آراج - نام روز بیست و پنجم از هر ماه شمسی در ایران قدیم که در این روز نو پوشیدن را مبارک و سفر را شوم می دانند,فارسی
آراز,9460,ārāz,male,گویش ترکی رودخانه ارس,ترکی
آراس,3106,ārās,male,آراز، رود ارس,ترکی
